"correcteur.CC","CC","correcteur.examen","examen","moyenne","mention"
"ALC",14,"ALC",16.5,15.5,"Bien"
"ALC",8,"ALC",2.5,4.7,"Raté"
"CFG",6,"CFG",16,12,"Assez.Bien"
"DH",15,"EG",20,18,"Excellent"
"EN",18.5,"DH",20,19.4,"Excellent"
"EN",9.5,"BR",10.5,10.1,"Passable"
"BR",16,"BR",12,13.6,"Assez.Bien"
"EN",8.5,"DH",9,8.8,"Raté"
"HP",9.5,"HP",13.5,11.9,"Assez.Bien"
"BR",5.5,"BR",6.5,6.1,"Raté"
"ALC",15.5,"ALC",17.5,16.7,"T.Bien"
"EG",17.5,"DH",19.5,18.7,"Excellent"
"ALC",19,"ALC",19.5,19.3,"Excellent"
"BR",16.5,"BR",11.5,13.5,"Assez.Bien"
"EG",6,"DH",8,7.2,"Raté"
"ALC",15,"ALC",16.5,15.9,"Bien"
"DH",3,"EG",7,5.4,"Raté"
"ALC",18,"ALC",19.5,18.9,"Excellent"
"ALC",14,"ALC",17.5,16.1,"T.Bien"
"HP",17.5,"HP",15.5,16.3,"T.Bien"
"ALC",13,"ALC",20,17.2,"T.Bien"
"ALC",11,"ALC",16,14,"Bien"
"CFG",15,"CFG",14,14.4,"Bien"
"BR",9,"BR",11.5,10.5,"Passable"
"EN",12,"DH",18,15.6,"Bien"
"ALC",14.5,"ALC",12.5,13.3,"Assez.Bien"
"BR",16.5,"BR",19,18,"Excellent"
"DH",18.5,"EG",20,19.4,"Excellent"
"HP",9.5,"HP",12,11,"Passable"
"ALC",8,"ALC",0,3.2,"Raté"
"ALC",14.5,"ALC",13,13.6,"Assez.Bien"
"ALC",17,"ALC",18.5,17.9,"T.Bien"
"DH",14.5,"EG",14.5,14.5,"Bien"
"DH",14.5,"EG",19.5,17.5,"T.Bien"
"BR",9,"BR",6.5,7.5,"Raté"
"EN",14.5,"DH",16,15.4,"Bien"
"HP",11,"HP",11,11,"Passable"
"EN",17,"DH",19,18.2,"Excellent"
"EG",16.5,"DH",18,17.4,"T.Bien"
"DH",12.5,"EG",19.5,16.7,"T.Bien"
"EN",17,"DH",18.5,17.9,"T.Bien"
"BR",15.5,"BR",13.5,14.3,"Bien"
"ALC",18,"ALC",20,19.2,"Excellent"
"HP",13,"HP",14,13.6,"Assez.Bien"
"ALC",13.5,"ALC",17,15.6,"Bien"
"CFG",11,"CFG",14,12.8,"Assez.Bien"
"BR",17.5,"BR",10,13,"Assez.Bien"
"CFG",15,"CFG",14,14.4,"Bien"
"EG",8.5,"DH",8,8.2,"Raté"
"ALC",7,"ALC",11,9.4,"Raté"
"CFG",18.5,"CFG",19.5,19.1,"Excellent"
"DH",15.5,"EG",10.5,12.5,"Assez.Bien"
"EN",12,"DH",18.5,15.9,"T.Bien"
"BR",12.5,"BR",20,17,"T.Bien"
"BR",15.5,"BR",16.5,16.1,"T.Bien"
"ALC",18.5,"ALC",20,19.4,"Excellent"
"CFG",3.5,"HP",0,1.4,"Raté"
"BR",14.5,"BR",10.5,12.1,"Assez.Bien"
"DH",11,"EG",11.5,11.3,"Passable"
"BR",9.5,"BR",6,7.4,"Raté"
"CFG",12.5,"CFG",13,12.8,"Assez.Bien"
"DH",17.5,"EG",18,17.8,"T.Bien"
"HP",19.5,"HP",17,18,"Excellent"
"CFG",12.5,"CFG",10.5,11.3,"Passable"
"ALC",9.5,"ALC",14,12.2,"Assez.Bien"
"DH",13.5,"EG",19,16.8,"T.Bien"
"HP",18,"HP",16.5,17.1,"T.Bien"
"EN",16,"DH",16.5,16.3,"T.Bien"
"EG",15,"EN",16,15.6,"Bien"
"DH",15,"EG",19,17.4,"T.Bien"
"CFG",16.5,"CFG",11,13.2,"Assez.Bien"
"DH",15,"EG",13.5,14.1,"Bien"
"EG",14,"DH",19.5,17.3,"T.Bien"
"ALC",15,"ALC",19,17.4,"T.Bien"
"CFG",10.5,"CFG",11.5,11.1,"Passable"
"CFG",10.5,"CFG",18,15,"Bien"
"BR",8,"BR",15.5,12.5,"Assez.Bien"
"ALC",10.5,"ALC",4.5,6.9,"Raté"
"ALC",9,"ALC",15,12.6,"Assez.Bien"
"BR",16.5,"BR",18,17.4,"T.Bien"
"BR",19,"BR",20,19.6,"Excellent"
"BR",17.5,"BR",20,19,"Excellent"
"BR",17,"BR",16.5,16.7,"T.Bien"
"ALC",16,"ALC",19.5,18.1,"Excellent"
"BR",12.5,"BR",16.5,14.9,"Bien"
"BR",4.5,"BR",7,6,"Raté"
"BR",10,"BR",13.5,12.1,"Assez.Bien"
"BR",18,"BR",19,18.6,"Excellent"
"BR",9.5,"BR",17.5,14.3,"Bien"
"BR",10.5,"BR",2,5.4,"Raté"
